GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ce204-hw4-alper-sahin,ce204_hw4_library,CarModelSUV,0,45,0,0,0,16,0,8,0,8
ce204-hw4-alper-sahin,ce204_hw4_library,NotificationTime,0,40,0,6,0,15,0,7,0,4
ce204-hw4-alper-sahin,ce204_hw4_library,PaymentSystemService,0,53,1,1,0,16,1,8,0,8
ce204-hw4-alper-sahin,ce204_hw4_library,MenuServices,0,19,0,0,0,9,0,5,0,5
ce204-hw4-alper-sahin,ce204_hw4_library,CarModelHatchback,0,45,0,0,0,16,0,8,0,8
ce204-hw4-alper-sahin,ce204_hw4_library,CarModelSedan,0,45,0,0,0,16,0,8,0,8
ce204-hw4-alper-sahin,ce204_hw4_library,PayCash,0,20,0,0,0,6,0,4,0,4
ce204-hw4-alper-sahin,ce204_hw4_library,PayPayPal,0,59,0,0,0,14,0,7,0,7
ce204-hw4-alper-sahin,ce204_hw4_library,CarModelPickUp,0,45,0,0,0,16,0,8,0,8
ce204-hw4-alper-sahin,ce204_hw4_library,CreditCardSystem,0,21,0,0,0,8,0,4,0,4
ce204-hw4-alper-sahin,ce204_hw4_library,CarModelStationWagon,0,45,0,0,0,16,0,8,0,8
ce204-hw4-alper-sahin,ce204_hw4_library,RegistrationServices,0,161,0,2,0,40,0,6,0,5
ce204-hw4-alper-sahin,ce204_hw4_library,PayPalSystem,0,15,0,0,0,6,0,3,0,3
ce204-hw4-alper-sahin,ce204_hw4_library,PayCreditCard,0,60,0,0,0,14,0,7,0,7
ce204-hw4-alper-sahin,ce204_hw4_library,FactoryMethodPatternCar,0,79,0,7,0,9,0,8,0,2
ce204-hw4-alper-sahin,ce204_hw4_library,CarModelCabrio,0,45,0,0,0,16,0,8,0,8
ce204-hw4-alper-sahin,ce204_hw4_library,CarCustomer,0,40,0,0,0,10,0,3,0,3
ce204-hw4-alper-sahin,ce204_hw4_library,LoginServices,0,206,2,24,0,41,2,22,0,11
ce204-hw4-alper-sahin,ce204_hw4_library,CustomerObserverable,0,36,0,2,0,11,0,5,0,4
ce204-hw4-alper-sahin,ce204_hw4_app,Main,0,620,4,51,0,171,4,37,0,7
ce204-hw4-alper-sahin,ce204_hw4_app,Admin,0,7,0,0,0,2,0,1,0,1
ce204-hw4-alper-sahin,ce204_hw4_app,User,0,81,0,0,0,21,0,11,0,11
ce204-hw4-alper-sahin,ce204_hw4_app,Customer,0,21,0,0,0,8,0,4,0,4
ce204-hw4-alper-sahin,ce204_hw4_app,App,0,42,0,0,0,11,0,2,0,2
ce204-hw4-alper-sahin,ce204_hw4_app,Bill,0,55,0,0,0,10,0,2,0,2
ce204-hw4-alper-sahin,ce204_hw4_app,UserDatabase,0,87,0,0,0,15,0,5,0,5
